quant,grouping,prompt,chat,category,peg_id,socket,label,margin_mm,images_sha,p_yes,mass_yes,mass_no,answer,top_token,top_prob,n_input_tokens,latency_s,prep_s,peak_vram_gb
nf4,nested,controlled,qwen_1_5,nominal,ellipse_01,ellipse_01,compatible,0.29981020754907156,75e27003ed8ae93a,0.7819968818194164,0.7811166048049927,0.2177577167749405,yes,yes,0.7215707302093506,3080,1.3032504000002518,0.0268512999991799,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,ellipse_02,ellipse_02,compatible,0.299813919484128,9f9a8d122211e70c,0.7740000721770002,0.7730866074562073,0.2257332056760788,yes,yes,0.7158117294311523,3080,1.233581200000117,0.03112449999935052,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,ellipse_03,ellipse_03,compatible,0.29979681734150887,a7af3e4f5acd5368,0.7850525597941256,0.7842072248458862,0.21471598744392395,yes,yes,0.7317258715629578,3080,1.2408271000003879,0.03226569999969797,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,dshape_01,dshape_01,compatible,0.2922746466650832,b78de3844478c00a,0.7512837703742515,0.7501839399337769,0.24835212528705597,yes,yes,0.6664223074913025,3080,1.2813287999997556,0.027806199999758974,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,dshape_02,dshape_02,compatible,0.2829689679359062,cc9e97894a81d97d,0.7676503555215626,0.7664583325386047,0.2319888472557068,yes,yes,0.6600137948989868,3080,1.271398599999884,0.028399000000717933,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,dshape_03,dshape_03,compatible,0.2743944415034985,82cedf3b15fd7f3f,0.7649844290174055,0.7637611627578735,0.23463976383209229,yes,yes,0.6590905785560608,3080,1.300052799999321,0.02557619999970484,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,dshape_04,dshape_04,compatible,0.28653652858701567,891cb7eca466fdb3,0.7479973482746457,0.7468108534812927,0.2516029179096222,yes,yes,0.6299326419830322,3080,1.272272599999269,0.023170500000560423,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,cross_01,cross_01,compatible,0.2999096456088586,591efcaba9f53131,0.7503877306296304,0.7487608790397644,0.24907110631465912,yes,yes,0.49528855085372925,3080,1.2597644999987097,0.027122899999085348,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,cross_02,cross_02,compatible,0.29990964560885724,15a4d556975d5c0a,0.7511818573275035,0.749589741230011,0.2482907772064209,yes,yes,0.5087525248527527,3080,1.2263668999985384,0.02835879999838653,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,cross_03,cross_03,compatible,0.2999096456088604,f956214ddb54ba0c,0.7533390175128951,0.7518272399902344,0.24616599082946777,yes,yes,0.5650207996368408,3080,1.3082034999988537,0.028146999999080435,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,cross_04,cross_04,compatible,0.2999096456088599,1f9b43b475da84b7,0.7469543866812169,0.7454243898391724,0.25252729654312134,yes,yes,0.564505934715271,3080,1.267224900000656,0.025824500000453554,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,tube_01,tube_01,compatible,0.29990964560885974,a43db81b2e363361,0.7998376491080061,0.798957884311676,0.1999421864748001,yes,yes,0.7423114776611328,3080,1.3017874999986816,0.024144699998942087,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,tube_02,tube_02,compatible,0.2999096456088599,4d7dabf0a91e236c,0.8034441114850545,0.802618145942688,0.19635382294654846,yes,yes,0.7555338740348816,3080,1.2476423000007344,0.026034900000013295,6.132611274719238
nf4,nested,controlled,qwen_1_5,nominal,tube_03,tube_03,compatible,0.2999096456088598,20d45a2de9de9aab,0.8111073033726469,0.8102619051933289,0.18869581818580627,yes,yes,0.7448991537094116,3080,1.2437517999987904,0.030994699998700526,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,ellipse_01,ellipse_01_rot90,compatible,0.29981020754907156,93979c440c6e4314,0.7583370748669386,0.7573603391647339,0.2413516640663147,yes,yes,0.6848631501197815,3080,1.273542400000224,0.029002700001001358,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,ellipse_02,ellipse_02_rot90,compatible,0.299813919484128,8a4618f7e21d67d1,0.7429744755204586,0.7420250773429871,0.2566970884799957,yes,yes,0.6854621171951294,3080,1.3126170999985334,0.02515039999889268,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,ellipse_03,ellipse_03_rot90,compatible,0.29979681734150887,ce4b6011e4b2b3a2,0.761986143547519,0.7609628438949585,0.23769421875476837,yes,yes,0.6712091565132141,3080,1.2889011999996,0.02662129999953322,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,dshape_01,dshape_01_rot90,compatible,0.2922746466650832,12723ddda28cfaa6,0.7527090254629278,0.7516403198242188,0.24693986773490906,yes,yes,0.6765573024749756,3080,1.2781938000007358,0.029429900001559872,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,dshape_02,dshape_02_rot90,compatible,0.2829689679359062,fe28a83a456eab4e,0.7667071877718704,0.7655158638954163,0.23293031752109528,yes,yes,0.6633884310722351,3080,1.2984596000005695,0.028032800000801217,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,dshape_03,dshape_03_rot90,compatible,0.2743944415034985,c889c3af12753d89,0.7523189025365945,0.7510285377502441,0.24725627899169922,yes,yes,0.6119229197502136,3080,1.2633755000006204,0.027014100000087637,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,dshape_04,dshape_04_rot90,compatible,0.28653652858701567,602049c59e292069,0.7557533692265739,0.7544916868209839,0.24383887648582458,yes,yes,0.6129720211029053,3080,1.2507447999996657,0.02587659999880998,6.132611274719238
nf4,nested,controlled,qwen_1_5,rotated,cross_04,cross_04_rot90,compatible,0.2999096456088599,8715cb01d1f51794,0.7471424469073515,0.7456185221672058,0.2523418068885803,yes,yes,0.5667937994003296,3080,1.2916229000002204,0.029223300000012387,6.132611274719238
