quant,grouping,prompt,category,peg_id,socket,label,margin_mm,images_sha,p_yes,mass_yes,mass_no,answer,top_token,top_prob,n_input_tokens,latency_s,prep_s,peak_vram_gb
nf4,nested,paper,nominal,ellipse_01,ellipse_01,compatible,0.29981020754907156,75e27003ed8ae93a,0.5705993171827013,0.5697788000106812,0.42878320813179016,yes,Yes,0.5293192863464355,3018,1.212750099999539,0.018114200000127312,6.12585973739624
nf4,nested,paper,nominal,ellipse_02,ellipse_02,compatible,0.299813919484128,9f9a8d122211e70c,0.5524230192341956,0.5515486598014832,0.44686856865882874,yes,Yes,0.5075801014900208,3018,1.1982654000003095,0.017900799999551964,6.12585973739624
nf4,nested,paper,nominal,ellipse_03,ellipse_03,compatible,0.29979681734150887,a7af3e4f5acd5368,0.580163405937797,0.5792350769042969,0.4191648066043854,yes,Yes,0.5260027647018433,3018,1.2521184000015637,0.017319800001132535,6.12585973739624
nf4,nested,paper,nominal,dshape_01,dshape_01,compatible,0.2922746466650832,b78de3844478c00a,0.515547596773625,0.5147686004638672,0.4837203919887543,yes,Yes,0.48173320293426514,3018,1.174774700000853,0.01917440000033821,6.12585973739624
nf4,nested,paper,nominal,dshape_02,dshape_02,compatible,0.2829689679359062,cc9e97894a81d97d,0.5389532949776981,0.5381569862365723,0.46036550402641296,yes,Yes,0.505102813243866,3018,1.1767938000011782,0.018382500000370783,6.12585973739624
nf4,nested,paper,nominal,dshape_03,dshape_03,compatible,0.2743944415034985,82cedf3b15fd7f3f,0.5291809385875906,0.5284733176231384,0.47018948197364807,yes,Yes,0.5053529739379883,3018,1.2446053999992728,0.01722460000019055,6.12585973739624
nf4,nested,paper,nominal,dshape_04,dshape_04,compatible,0.28653652858701567,891cb7eca466fdb3,0.5101292743022426,0.5094417929649353,0.4892105460166931,yes,Yes,0.4843480587005615,3018,1.25058750000062,0.08548870000049646,6.12585973739624
nf4,nested,paper,nominal,cross_01,cross_01,compatible,0.2999096456088586,591efcaba9f53131,0.5918487278307194,0.5911067128181458,0.4076395630836487,yes,Yes,0.577140748500824,3018,1.2336273000000801,0.02479959999982384,6.12585973739624
nf4,nested,paper,nominal,cross_02,cross_02,compatible,0.29990964560885724,15a4d556975d5c0a,0.5881148054585561,0.5874149799346924,0.4113950729370117,yes,Yes,0.5731110572814941,3018,1.2029416000004858,0.021994299999278155,6.12585973739624
nf4,nested,paper,nominal,cross_03,cross_03,compatible,0.2999096456088604,f956214ddb54ba0c,0.5779152566929331,0.5771462917327881,0.4215231239795685,yes,Yes,0.5572648644447327,3018,1.228175000000192,0.03153030000066792,6.12585973739624
nf4,nested,paper,nominal,cross_04,cross_04,compatible,0.2999096456088599,1f9b43b475da84b7,0.5743005821739959,0.5735268592834473,0.4251258969306946,yes,Yes,0.5531612634658813,3018,1.253085700000156,0.01944539999931294,6.12585973739624
nf4,nested,paper,nominal,tube_01,tube_01,compatible,0.29990964560885974,a43db81b2e363361,0.6235443277835061,0.622542142868042,0.3758506178855896,yes,Yes,0.5529787540435791,3018,1.2247427000002062,0.022132699999929173,6.12585973739624
