style,grouping,peg,socket,own,oracle,p_yes,mass_yes,mass_no,answer,top_token,top_prob,n_input_tokens,latency_s,prep_s,peak_vram_gb
gray,nested,cross,cross,1,compatible,0.584190137956915,0.5834990739822388,0.41531798243522644,yes,Yes,0.5697137117385864,3018,1.8605954999984533,0.02998229999866453,6.12585973739624
gray,nested,cross,octagon,0,compatible,0.49031735678996824,0.4895784854888916,0.508914589881897,no,No,0.49393776059150696,3018,1.1502218999994511,0.015418599999975413,6.12585973739624
gray,nested,cross,square,0,incompatible,0.5268105611983409,0.5261894464492798,0.4726315438747406,yes,Yes,0.5121763348579407,3018,1.1864440000026661,0.015504599999985658,6.12585973739624
gray,nested,cross,circle,0,incompatible,0.5268875185659496,0.5260883569717407,0.4723948836326599,yes,Yes,0.49136465787887573,3018,1.2646735999987868,0.017329599999357015,6.12585973739624
gray,nested,cross,stadium,0,incompatible,0.5148471144423057,0.5139325261116028,0.48429104685783386,yes,Yes,0.46185576915740967,3018,1.257953100001032,0.020892900000035297,6.12585973739624
gray,nested,cross,trapezoid,0,incompatible,0.5242221627896886,0.5235204696655273,0.4751409888267517,yes,Yes,0.502593457698822,3018,1.2055663999999524,0.020149899999523768,6.12585973739624
gray,nested,cross,hexagon,0,incompatible,0.4693722403857788,0.46869534254074097,0.5298625230789185,no,No,0.5185298919677734,3018,1.2121667999999772,0.020470100000238745,6.12585973739624
gray,nested,cross,rectangle,0,incompatible,0.5238449763640683,0.5231446623802185,0.47551846504211426,yes,Yes,0.5048582553863525,3018,1.2089826999981597,0.019770799997786526,6.12585973739624
gray,nested,octagon,cross,0,incompatible,0.5783029059669084,0.5775261521339417,0.4211306869983673,yes,Yes,0.555109441280365,3018,1.151006400003098,0.019195000000763685,6.12585973739624
gray,nested,octagon,octagon,1,compatible,0.5810755240029688,0.5803436040878296,0.41839680075645447,yes,Yes,0.563129186630249,3018,1.1476876999986416,0.01902419999896665,6.12585973739624
gray,nested,octagon,square,0,incompatible,0.5239091675779366,0.5232727527618408,0.4755125045776367,yes,Yes,0.5049953460693359,3018,1.1960429999999178,0.018735600002401043,6.12585973739624
gray,nested,octagon,circle,0,incompatible,0.5155227632363935,0.5147695541381836,0.48376938700675964,yes,Yes,0.47928038239479065,3018,1.1788543000002392,0.022520900001836708,6.12585973739624
gray,nested,octagon,stadium,0,incompatible,0.5150765479582793,0.5141775012016296,0.4840770363807678,yes,Yes,0.4598402976989746,3018,1.2422484000016993,0.020284000001993263,6.12585973739624
gray,nested,octagon,trapezoid,0,incompatible,0.5361363631819839,0.5354617834091187,0.46327999234199524,yes,Yes,0.5137355923652649,3018,1.2710646000014094,0.02297290000205976,6.12585973739624
gray,nested,octagon,hexagon,0,incompatible,0.5311980144874638,0.5304936170578003,0.4681803286075592,yes,Yes,0.5135383605957031,3018,1.2961097000006703,0.019868100000167033,6.12585973739624
gray,nested,octagon,rectangle,0,incompatible,0.5285963508197522,0.5278772711753845,0.47076237201690674,yes,Yes,0.5057981014251709,3018,1.2215336999979627,0.022064699998736614,6.12585973739624
gray,nested,square,cross,0,incompatible,0.5881096971873455,0.5874228477478027,0.41140925884246826,yes,Yes,0.5735544562339783,3018,1.166323099998408,0.02335749999838299,6.12585973739624
gray,nested,square,octagon,0,incompatible,0.48804110856900285,0.4874301850795746,0.511318027973175,no,No,0.5044032335281372,3018,1.1790251999991597,0.019514700001309393,6.12585973739624
gray,nested,square,square,1,compatible,0.5376962701928268,0.5371198654174805,0.46180814504623413,yes,Yes,0.5271781086921692,3018,1.1961222000027192,0.020643900003051385,6.12585973739624
gray,nested,square,circle,0,incompatible,0.5289987378716539,0.5283117294311523,0.47038957476615906,yes,Yes,0.505903422832489,3018,1.2237365000000864,0.019167700000252808,6.12585973739624
gray,nested,square,stadium,0,incompatible,0.5234469016834594,0.5226312279701233,0.4758104979991913,yes,Yes,0.4886350631713867,3018,1.267480999998952,0.02055580000160262,6.12585973739624
gray,nested,square,trapezoid,0,incompatible,0.5304515604222804,0.5298489332199097,0.4690150022506714,yes,Yes,0.5173414349555969,3018,1.2619374999994761,0.02142420000018319,6.12585973739624
gray,nested,square,hexagon,0,incompatible,0.472392826239823,0.4717721939086914,0.5269140005111694,no,No,0.5196821093559265,3018,1.3038770999992266,0.022378499998012558,6.12585973739624
gray,nested,square,rectangle,0,incompatible,0.5459681481685266,0.5453111529350281,0.45348548889160156,yes,Yes,0.5330018997192383,3018,1.3388373000016145,0.021781300001748605,6.12585973739624
gray,nested,circle,cross,0,incompatible,0.6023125097954068,0.6015257835388184,0.39716804027557373,yes,Yes,0.5719055533409119,3018,1.196398500000214,0.02307730000029551,6.12585973739624
gray,nested,circle,octagon,0,compatible,0.546827924223314,0.5460357069969177,0.45251554250717163,yes,Yes,0.5089331865310669,3018,1.1331931999993685,0.019389000000956003,6.12585973739624
gray,nested,circle,square,0,incompatible,0.5445394981741956,0.5438610315322876,0.45489302277565,yes,Yes,0.5197365880012512,3018,1.1236594000001787,0.0186732000001939,6.12585973739624
