part_id,family,role,view,path,sha256,image_px,mm_per_px,tilt_deg,settings_sha
circle_01,circle,peg,v1,data/renders/procedural/circle_01_peg_v1.png,078cd854df3f4ecbf77caebebb802b487b4eb1f7d7e3c7da61ff0bcf686e75d7,768,0.067708,0.0,7de39322d57d
circle_01,circle,peg,v2,data/renders/procedural/circle_01_peg_v2.png,66d84abf80e05fdf61bbd12588397b69b7a15d1e468fb36b84bdee6038386b6d,768,0.067708,30.0,7de39322d57d
circle_01,circle,socket,v1,data/renders/procedural/circle_01_socket_v1.png,089266493b354e816dc10ce2f867c73a3a175f2146a6cbb4aa962e862b56fa1a,768,0.067708,0.0,7de39322d57d
circle_01,circle,socket,v2,data/renders/procedural/circle_01_socket_v2.png,d162e3fb9454ae088348a78bcab8079936449cc561bcc68fced0e8ae82a8bbb6,768,0.067708,30.0,7de39322d57d
circle_02,circle,peg,v1,data/renders/procedural/circle_02_peg_v1.png,e26d8da398858faa9010ef01917c41ed0665ecb25e141862b0c1ca19b44b9532,768,0.067708,0.0,7de39322d57d
circle_02,circle,peg,v2,data/renders/procedural/circle_02_peg_v2.png,d8357491bcf6aeaf331aadf4499fbd456de9a4fe4f98d0980de97f0f0773f72b,768,0.067708,30.0,7de39322d57d
circle_02,circle,socket,v1,data/renders/procedural/circle_02_socket_v1.png,278ec38ece20b6beb72170d629700aad38c15036f76a96bff8a07a731fb48b6a,768,0.067708,0.0,7de39322d57d
circle_02,circle,socket,v2,data/renders/procedural/circle_02_socket_v2.png,2cffecc8a9252fee7f49b0bea653ca247cd19ecb7c4882692e222d12aaf35126,768,0.067708,30.0,7de39322d57d
circle_03,circle,peg,v1,data/renders/procedural/circle_03_peg_v1.png,ba1b8cb0392b5326631ea1ae1a60e10f4e5ee7c022ff6faa704388e08867188c,768,0.067708,0.0,7de39322d57d
circle_03,circle,peg,v2,data/renders/procedural/circle_03_peg_v2.png,4b121f5bba10124acf7a901252c25858e6b0b0c43ce0602ad4e6806266bf6f5e,768,0.067708,30.0,7de39322d57d
circle_03,circle,socket,v1,data/renders/procedural/circle_03_socket_v1.png,44b33b693953a6fc70c0149d3887fd35a81a223626b65195f2993efc3d7ef3ef,768,0.067708,0.0,7de39322d57d
circle_03,circle,socket,v2,data/renders/procedural/circle_03_socket_v2.png,88fdac83cb8ce94a3c5a172032fd317adfc6c0b45f4f9860f6337aba9b11258a,768,0.067708,30.0,7de39322d57d
circle_04,circle,peg,v1,data/renders/procedural/circle_04_peg_v1.png,f402d4ec4df3211239dca20d527f416ff758e6b88416fd26b871d787b72c122f,768,0.067708,0.0,7de39322d57d
circle_04,circle,peg,v2,data/renders/procedural/circle_04_peg_v2.png,4e22ec75f3039a2eba2ca6d3fd1fed13f512731ba55537e3e4c73c489f835574,768,0.067708,30.0,7de39322d57d
circle_04,circle,socket,v1,data/renders/procedural/circle_04_socket_v1.png,5ee9e1cd0923e5bcd2f4e2fab821498c5e0b168a19528883ff717129f3613d24,768,0.067708,0.0,7de39322d57d
circle_04,circle,socket,v2,data/renders/procedural/circle_04_socket_v2.png,e9b77fab7dc28419e100ccd794876bc4df4dee942650448dbd941427cf771cfc,768,0.067708,30.0,7de39322d57d
circle_05,circle,peg,v1,data/renders/procedural/circle_05_peg_v1.png,4ec5a9e7814144bac6f04f61626948857e4b6000d40d9d0c8a4b9bc2bbcee182,768,0.067708,0.0,7de39322d57d
circle_05,circle,peg,v2,data/renders/procedural/circle_05_peg_v2.png,644378dbddbc0b55af9652a7931ce43e7a453f90d6d669bb0b9bc7dd8d51eb0a,768,0.067708,30.0,7de39322d57d
circle_05,circle,socket,v1,data/renders/procedural/circle_05_socket_v1.png,a0235e6f5863f5e93c37e12ee15ca49987b2fdbcf623385a52a625d3389274f8,768,0.067708,0.0,7de39322d57d
circle_05,circle,socket,v2,data/renders/procedural/circle_05_socket_v2.png,44eda64fd51349eea30c28f990d9225bef22b5ad897225179f01d337bb1b49fd,768,0.067708,30.0,7de39322d57d
square_01,square,peg,v1,data/renders/procedural/square_01_peg_v1.png,3d801301736f4077a29635fab0423d5a7cad6b802f21c940db84e1aa3f34c974,768,0.067708,0.0,7de39322d57d
square_01,square,peg,v2,data/renders/procedural/square_01_peg_v2.png,d505070299cde0e29e72f9ccd2fe64a621b86a54924e54069c7fe3028ec1ba69,768,0.067708,30.0,7de39322d57d
square_01,square,socket,v1,data/renders/procedural/square_01_socket_v1.png,da3811539acd30628115b62e6337307b776757be6345f3eb308e3af58c9e565b,768,0.067708,0.0,7de39322d57d
square_01,square,socket,v2,data/renders/procedural/square_01_socket_v2.png,ca584176c99f0265cc31e6bfa9e5a751a70fbe919c239275972812d85861a37f,768,0.067708,30.0,7de39322d57d
square_02,square,peg,v1,data/renders/procedural/square_02_peg_v1.png,b879ff492748bd01ffc0933e8bcc04ef42a6fb22c1585db713de2a24e3a3160c,768,0.067708,0.0,7de39322d57d
square_02,square,peg,v2,data/renders/procedural/square_02_peg_v2.png,1d6488a9e8f348a2e4510c36576918e8556f7f2d601238032b76c145b963c808,768,0.067708,30.0,7de39322d57d
square_02,square,socket,v1,data/renders/procedural/square_02_socket_v1.png,68dac42c091f15a655844c5347cd2d2dca6f0ad28e219b0e5b655646babc9918,768,0.067708,0.0,7de39322d57d
square_02,square,socket,v2,data/renders/procedural/square_02_socket_v2.png,19508673b7839823af5a7bd45d8af9e4fd743143339e2835f49e11ef1a0beaf5,768,0.067708,30.0,7de39322d57d
square_03,square,peg,v1,data/renders/procedural/square_03_peg_v1.png,427304aa2e8866517ba537bfeefd8f742f9c0734437048c7a760eeceabfc1836,768,0.067708,0.0,7de39322d57d
square_03,square,peg,v2,data/renders/procedural/square_03_peg_v2.png,1b1a9a2cbc5a10b80637bc4067aaad3ae752542fbd836014b84e313dad353d69,768,0.067708,30.0,7de39322d57d
square_03,square,socket,v1,data/renders/procedural/square_03_socket_v1.png,b9e9400f444f0df9374c5e8db5b465e02fbfffab3143c25fd26bfca2713b3fce,768,0.067708,0.0,7de39322d57d
square_03,square,socket,v2,data/renders/procedural/square_03_socket_v2.png,54a50854f26f4e3deb7bf6091332bcd9d83cade65e69c5bf0e13c4481da3e057,768,0.067708,30.0,7de39322d57d
square_04,square,peg,v1,data/renders/procedural/square_04_peg_v1.png,f02034269a815ccfa6ad5597d9376b511ca02d27eb6679e8db8c53318c2475a7,768,0.067708,0.0,7de39322d57d
square_04,square,peg,v2,data/renders/procedural/square_04_peg_v2.png,5cced5c889ac075d987ad188995a3cb03a5bff9876dc4c5196cb2acac2c5d063,768,0.067708,30.0,7de39322d57d
square_04,square,socket,v1,data/renders/procedural/square_04_socket_v1.png,16201e0e7056f422a26a1c4fa33b991c3979f2db3342d8cb16e8252980b74d93,768,0.067708,0.0,7de39322d57d
square_04,square,socket,v2,data/renders/procedural/square_04_socket_v2.png,b631e68029df268d27bd2c32b2fd9b8b423e9bea70fd739489620e7d0905f974,768,0.067708,30.0,7de39322d57d
rect_01,rect,peg,v1,data/renders/procedural/rect_01_peg_v1.png,f07307d2ed3dc076e0a5d6dc130da490b78024fc43948b37ea86007d64cd9c63,768,0.067708,0.0,7de39322d57d
rect_01,rect,peg,v2,data/renders/procedural/rect_01_peg_v2.png,2c10d28274fbdc097c113f3ec16170eb9ee313b121e386f070e559c131b429c7,768,0.067708,30.0,7de39322d57d
rect_01,rect,socket,v1,data/renders/procedural/rect_01_socket_v1.png,c3e4ca6462673f2969b7a5c5604447e17d002fa67021a7a0079e1dc1fe10d0ba,768,0.067708,0.0,7de39322d57d
rect_01,rect,socket,v2,data/renders/procedural/rect_01_socket_v2.png,c437af32d3a9260762a2b0d4ecb932d6838e35ded27ce563e7c0f6303a088c53,768,0.067708,30.0,7de39322d57d
rect_02,rect,peg,v1,data/renders/procedural/rect_02_peg_v1.png,c49b94ea585edfcc0fa655a6497a52ca0adafa98474cfb1490e21e790e5f25b2,768,0.067708,0.0,7de39322d57d
rect_02,rect,peg,v2,data/renders/procedural/rect_02_peg_v2.png,910d8e15322d96292cd7cb629cc7dfc54d74774633d3da1947fb80d9090ce774,768,0.067708,30.0,7de39322d57d
rect_02,rect,socket,v1,data/renders/procedural/rect_02_socket_v1.png,9207544dd1822f83025a9278f0d38bc290c5d1c534abdd838392fdbde15ea5cc,768,0.067708,0.0,7de39322d57d
rect_02,rect,socket,v2,data/renders/procedural/rect_02_socket_v2.png,1e589170ddc5294a44c9b3b6063891b2de7ea2266ce6e9e5e36fb15495121b06,768,0.067708,30.0,7de39322d57d
rect_03,rect,peg,v1,data/renders/procedural/rect_03_peg_v1.png,d069c092bc162e78cc79239b84176fd170da9444ccb1ebdee9f2c8d48b2988a6,768,0.067708,0.0,7de39322d57d
rect_03,rect,peg,v2,data/renders/procedural/rect_03_peg_v2.png,92d8abeb71257ce58011e148d3ed942b75e8a4f764b7dca2fef5cf2bfc3eb5f2,768,0.067708,30.0,7de39322d57d
